Time,System Production (W)
02/11/2022 00:00,"0"
02/11/2022 00:15,"0"
02/11/2022 00:30,"0"
02/11/2022 00:45,"0"
02/11/2022 01:00,"0"
02/11/2022 01:15,"0"
02/11/2022 01:30,"0"
02/11/2022 01:45,"0"
02/11/2022 02:00,"0"
02/11/2022 02:15,"0"
02/11/2022 02:30,"0"
02/11/2022 02:45,"0"
02/11/2022 03:00,"0"
02/11/2022 03:15,"0"
02/11/2022 03:30,"0"
02/11/2022 03:45,"0"
02/11/2022 04:00,"0"
02/11/2022 04:15,"0"
02/11/2022 04:30,"0"
02/11/2022 04:45,"0"
02/11/2022 05:00,"0"
02/11/2022 05:15,"0"
02/11/2022 05:30,"0"
02/11/2022 05:45,"0"
02/11/2022 06:00,"0"
02/11/2022 06:15,"0"
02/11/2022 06:30,"0"
02/11/2022 06:45,"0"
02/11/2022 07:00,"0"
02/11/2022 07:15,"5.8333"
02/11/2022 07:30,"22.1667"
02/11/2022 07:45,"48.1667"
02/11/2022 08:00,"37.6667"
02/11/2022 08:15,"57.5"
02/11/2022 08:30,"46.6667"
02/11/2022 08:45,"81.6667"
02/11/2022 09:00,"88.8333"
02/11/2022 09:15,"112.8333"
02/11/2022 09:30,"121.1667"
02/11/2022 09:45,"37.3333"
02/11/2022 10:00,"124.8333"
02/11/2022 10:15,"118.8333"
02/11/2022 10:30,"90.5"
02/11/2022 10:45,"68"
02/11/2022 11:00,"116.5"
02/11/2022 11:15,"233.1667"
02/11/2022 11:30,"371.6667"
02/11/2022 11:45,"435.5"
02/11/2022 12:00,"399"
02/11/2022 12:15,"241.5"
02/11/2022 12:30,"166.5"
02/11/2022 12:45,"1354.5"
02/11/2022 13:00,"836.6667"
02/11/2022 13:15,"1586.6666"
02/11/2022 13:30,"653.1667"
02/11/2022 13:45,"126.8333"
02/11/2022 14:00,"645.5"
02/11/2022 14:15,"880"
02/11/2022 14:30,"526.8333"
02/11/2022 14:45,"409.8333"
02/11/2022 15:00,"463.5"
02/11/2022 15:15,"332.3333"
02/11/2022 15:30,"114.1667"
02/11/2022 15:45,"22"
02/11/2022 16:00,"0"
02/11/2022 16:15,"0"
02/11/2022 16:30,"0"
02/11/2022 16:45,"0"
02/11/2022 17:00,"0"
02/11/2022 17:15,"0"
02/11/2022 17:30,"0"
02/11/2022 17:45,"0"
02/11/2022 18:00,"0"
02/11/2022 18:15,"0"
02/11/2022 18:30,"0"
02/11/2022 18:45,"0"
02/11/2022 19:00,"0"
02/11/2022 19:15,"0"
02/11/2022 19:30,"0"
02/11/2022 19:45,"0"
02/11/2022 20:00,"0"
02/11/2022 20:15,"0"
02/11/2022 20:30,"0"
02/11/2022 20:45,"0"
02/11/2022 21:00,"0"
02/11/2022 21:15,"0"
02/11/2022 21:30,"0"
02/11/2022 21:45,"0"
02/11/2022 22:00,"0"
02/11/2022 22:15,"0"
02/11/2022 22:30,"0"
02/11/2022 22:45,"0"
02/11/2022 23:00,"0"
02/11/2022 23:15,"0"
02/11/2022 23:30,"0"
02/11/2022 23:45,"0"
